number,value,datetime_start,datetime_complete,duration,params_id_base_features,params_id_extra_symbols,params_id_remove_multicollinearity,params_id_tsfresh_features,state
0,0.1448528620680708,2025-10-23 07:02:03.732273,2025-10-23 07:02:31.570975,0 days 00:00:27.838702,11,0,1,6,COMPLETE
1,0.04207223865623483,2025-10-23 07:02:31.640810,2025-10-23 07:03:03.091731,0 days 00:00:31.450921,58,0,1,10,COMPLETE
2,0.11119589385263595,2025-10-23 07:03:03.160389,2025-10-23 07:03:33.271696,0 days 00:00:30.111307,16,0,0,1,COMPLETE
3,0.10049147281791643,2025-10-23 07:03:33.347695,2025-10-23 07:03:51.981772,0 days 00:00:18.634077,18,0,0,7,COMPLETE
4,0.08303661671150514,2025-10-23 07:03:52.047468,2025-10-23 07:04:10.069210,0 days 00:00:18.021742,42,0,0,3,COMPLETE
5,0.03011214380054139,2025-10-23 07:04:10.139183,2025-10-23 07:04:33.100647,0 days 00:00:22.961464,36,0,1,7,COMPLETE
6,0.009411466979610983,2025-10-23 07:04:33.169602,2025-10-23 07:04:55.545762,0 days 00:00:22.376160,45,0,0,5,COMPLETE
7,0.022296610169853015,2025-10-23 07:04:55.611304,2025-10-23 07:05:14.930631,0 days 00:00:19.319327,14,0,1,1,COMPLETE
8,0.08987901916342322,2025-10-23 07:05:14.993489,2025-10-23 07:05:38.040779,0 days 00:00:23.047290,57,0,0,6,COMPLETE
9,0.03943226756623719,2025-10-23 07:05:38.095391,2025-10-23 07:06:04.923904,0 days 00:00:26.828513,60,0,0,14,COMPLETE
10,0.07957650597453236,2025-10-23 07:06:04.980260,2025-10-23 07:06:22.448698,0 days 00:00:17.468438,27,0,1,0,COMPLETE
11,0.022296610169853015,2025-10-23 07:06:22.516919,2025-10-23 07:06:41.585880,0 days 00:00:19.068961,11,0,1,1,COMPLETE
12,-0.02257007704527264,2025-10-23 07:06:41.654994,2025-10-23 07:07:03.520575,0 days 00:00:21.865581,16,0,1,6,COMPLETE
13,0.04727218192953009,2025-10-23 07:07:03.580332,2025-10-23 07:07:16.929165,0 days 00:00:13.348833,0,0,0,2,COMPLETE
14,0.11038651699331092,2025-10-23 07:07:16.992798,2025-10-23 07:07:39.398203,0 days 00:00:22.405405,11,0,0,11,COMPLETE
15,0.0048141514315689915,2025-10-23 07:07:39.476854,2025-10-23 07:08:00.386673,0 days 00:00:20.909819,16,0,1,9,COMPLETE
16,0.09163209735377698,2025-10-23 07:08:00.450330,2025-10-23 07:08:20.769097,0 days 00:00:20.318767,6,0,1,8,COMPLETE
17,0.08942846368065233,2025-10-23 07:08:20.837556,2025-10-23 07:08:42.640396,0 days 00:00:21.802840,12,0,0,12,COMPLETE
18,0.033841809808469236,2025-10-23 07:08:42.693319,2025-10-23 07:08:58.072687,0 days 00:00:15.379368,49,0,1,15,COMPLETE
19,0.07590517353839765,2025-10-23 07:08:58.130198,2025-10-23 07:09:18.088065,0 days 00:00:19.957867,13,0,0,13,COMPLETE
20,-0.005620585662072242,2025-10-23 07:09:18.156051,2025-10-23 07:09:43.557644,0 days 00:00:25.401593,62,0,1,4,COMPLETE
21,0.11038651699331092,2025-10-23 07:09:43.609766,2025-10-23 07:10:04.197230,0 days 00:00:20.587464,11,0,0,11,COMPLETE
22,0.02779089840610338,2025-10-23 07:10:04.250996,2025-10-23 07:10:29.462852,0 days 00:00:25.211856,61,0,0,11,COMPLETE
23,0.11038651699331092,2025-10-23 07:10:29.518858,2025-10-23 07:10:50.514605,0 days 00:00:20.995747,11,0,0,11,COMPLETE
24,0.08987901916342322,2025-10-23 07:10:50.570898,2025-10-23 07:11:14.925294,0 days 00:00:24.354396,52,0,0,6,COMPLETE
25,-inf,2025-10-23 07:11:15.011696,2025-10-23 07:11:35.650238,0 days 00:00:20.638542,39,0,0,1,COMPLETE
26,0.07934020936451203,2025-10-23 07:11:35.711485,2025-10-23 07:15:34.349509,0 days 00:03:58.638024,40,0,0,12,COMPLETE
27,0.08603522461787144,2025-10-23 07:15:34.451043,2025-10-23 07:15:58.702025,0 days 00:00:24.250982,56,0,0,4,COMPLETE
28,0.0552291363780113,2025-10-23 07:15:58.774769,2025-10-23 07:16:19.543980,0 days 00:00:20.769211,20,0,1,8,COMPLETE
29,0.014737917870429385,2025-10-23 07:16:19.604280,2025-10-23 07:16:39.273305,0 days 00:00:19.669025,9,0,1,10,COMPLETE
30,0.009411466979610983,2025-10-23 07:16:39.323729,2025-10-23 07:16:58.384271,0 days 00:00:19.060542,31,0,0,5,COMPLETE
31,0.11038651699331092,2025-10-23 07:16:58.433930,2025-10-23 07:17:17.651487,0 days 00:00:19.217557,22,0,0,11,COMPLETE
32,0.11038651699331092,2025-10-23 07:17:17.704973,2025-10-23 07:17:36.694129,0 days 00:00:18.989156,11,0,0,11,COMPLETE
33,0.08303661671150514,2025-10-23 07:17:36.749523,2025-10-23 07:17:52.386413,0 days 00:00:15.636890,46,0,0,3,COMPLETE
34,0.08958245526911407,2025-10-23 07:17:52.437906,2025-10-23 07:20:38.693088,0 days 00:02:46.255182,10,0,0,11,COMPLETE
35,0.007086751139974201,2025-10-23 07:20:38.748865,2025-10-23 07:21:53.327807,0 days 00:01:14.578942,54,0,0,2,COMPLETE
36,0.05898707527344471,2025-10-23 07:21:53.389463,2025-10-23 07:23:53.131776,0 days 00:01:59.742313,7,0,0,7,COMPLETE
37,0.07910911832443646,2025-10-23 07:23:53.182983,2025-10-23 07:24:08.509937,0 days 00:00:15.326954,21,0,0,1,COMPLETE
38,0.09384468469975427,2025-10-23 07:24:08.564255,2025-10-23 07:27:47.398289,0 days 00:03:38.834034,50,0,1,14,COMPLETE
39,0.11354963229775528,2025-10-23 07:27:47.451113,2025-10-23 07:29:44.996519,0 days 00:01:57.545406,8,0,0,6,COMPLETE
40,0.13999501422795124,2025-10-23 07:29:45.051848,2025-10-23 07:31:48.903097,0 days 00:02:03.851249,34,0,0,6,COMPLETE
41,0.13999501422795124,2025-10-23 07:31:48.958675,2025-10-23 07:32:08.757958,0 days 00:00:19.799283,34,0,0,6,COMPLETE
42,0.11354963229775528,2025-10-23 07:32:08.813086,2025-10-23 07:32:24.678161,0 days 00:00:15.865075,8,0,0,6,COMPLETE
43,0.11354963229775528,2025-10-23 07:32:24.732333,2025-10-23 07:32:40.529101,0 days 00:00:15.796768,8,0,0,6,COMPLETE
44,0.08987901916342322,2025-10-23 07:32:40.585976,2025-10-23 07:33:00.116579,0 days 00:00:19.530603,59,0,0,6,COMPLETE
45,0.13999501422795124,2025-10-23 07:33:00.172707,2025-10-23 07:33:18.402930,0 days 00:00:18.230223,34,0,0,6,COMPLETE
46,-0.012135683981516654,2025-10-23 07:33:18.455168,2025-10-23 07:33:38.787700,0 days 00:00:20.332532,34,0,1,6,COMPLETE
47,0.13999501422795124,2025-10-23 07:33:38.841755,2025-10-23 07:33:56.918956,0 days 00:00:18.077201,34,0,0,6,COMPLETE
48,-0.012135683981516654,2025-10-23 07:33:56.975537,2025-10-23 07:34:17.110024,0 days 00:00:20.134487,34,0,1,6,COMPLETE
49,0.1194682426671187,2025-10-23 07:34:17.168169,2025-10-23 07:34:33.952879,0 days 00:00:16.784710,24,0,0,6,COMPLETE
50,0.11049452308656821,2025-10-23 07:34:34.007237,2025-10-23 07:35:44.715965,0 days 00:01:10.708728,34,0,0,0,COMPLETE
51,0.09172093878587029,2025-10-23 07:35:44.770601,2025-10-23 07:37:47.885074,0 days 00:02:03.114473,55,0,0,6,COMPLETE
52,0.1194682426671187,2025-10-23 07:37:47.936977,2025-10-23 07:38:04.571446,0 days 00:00:16.634469,24,0,0,6,COMPLETE
53,0.14002678524916556,2025-10-23 07:38:04.623053,2025-10-23 07:38:22.025305,0 days 00:00:17.402252,34,0,0,9,COMPLETE
54,0.14002678524916556,2025-10-23 07:38:22.076504,2025-10-23 07:38:39.444472,0 days 00:00:17.367968,34,0,0,9,COMPLETE
55,0.094769401008727,2025-10-23 07:38:39.499704,2025-10-23 07:38:55.759357,0 days 00:00:16.259653,5,0,1,9,COMPLETE
56,0.12455490030951655,2025-10-23 07:38:55.821919,2025-10-23 07:39:14.713025,0 days 00:00:18.891106,53,0,0,9,COMPLETE
57,0.06286189429132494,2025-10-23 07:39:14.764436,2025-10-23 07:39:26.963722,0 days 00:00:12.199286,25,0,0,15,COMPLETE
58,0.094769401008727,2025-10-23 07:39:27.020444,2025-10-23 07:39:43.220382,0 days 00:00:16.199938,3,0,1,9,COMPLETE
59,0.11580880503736507,2025-10-23 07:39:43.276955,2025-10-23 07:39:59.265479,0 days 00:00:15.988524,23,0,0,9,COMPLETE
60,0.07617010459504131,2025-10-23 07:39:59.320990,2025-10-23 07:42:47.321276,0 days 00:02:48.000286,29,0,0,10,COMPLETE
61,0.12839631797550166,2025-10-23 07:42:47.378092,2025-10-23 07:45:36.290595,0 days 00:02:48.912503,34,0,0,13,COMPLETE
62,0.14002678524916556,2025-10-23 07:45:36.345383,2025-10-23 07:45:56.542706,0 days 00:00:20.197323,34,0,0,9,COMPLETE
63,0.14002678524916556,2025-10-23 07:45:56.600403,2025-10-23 07:46:15.796422,0 days 00:00:19.196019,33,0,0,9,COMPLETE
64,0.13574135618094035,2025-10-23 07:46:15.860037,2025-10-23 07:46:30.719131,0 days 00:00:14.859094,2,0,0,9,COMPLETE
65,0.14002678524916556,2025-10-23 07:46:30.776199,2025-10-23 07:46:48.129560,0 days 00:00:17.353361,33,0,0,9,COMPLETE
66,0.022856413235710915,2025-10-23 07:46:48.182600,2025-10-23 07:47:05.547342,0 days 00:00:17.364742,48,0,0,9,COMPLETE
67,0.028551867397317576,2025-10-23 07:47:05.605127,2025-10-23 07:47:25.890731,0 days 00:00:20.285604,33,0,1,9,COMPLETE
68,0.1624108143354187,2025-10-23 07:47:25.949546,2025-10-23 07:47:42.150645,0 days 00:00:16.201099,30,0,0,9,COMPLETE
69,0.1624108143354187,2025-10-23 07:47:42.205780,2025-10-23 07:47:58.340408,0 days 00:00:16.134628,30,0,0,9,COMPLETE
70,0.0048141514315689915,2025-10-23 07:47:58.395150,2025-10-23 07:48:16.114018,0 days 00:00:17.718868,30,0,1,9,COMPLETE
71,0.1624108143354187,2025-10-23 07:48:16.170060,2025-10-23 07:48:32.328026,0 days 00:00:16.157966,28,0,0,9,COMPLETE
72,0.1624108143354187,2025-10-23 07:48:32.384695,2025-10-23 07:48:48.557712,0 days 00:00:16.173017,30,0,0,9,COMPLETE
73,0.1624108143354187,2025-10-23 07:48:48.614911,2025-10-23 07:49:04.711168,0 days 00:00:16.096257,30,0,0,9,COMPLETE
74,0.1624108143354187,2025-10-23 07:49:04.768125,2025-10-23 07:49:20.885965,0 days 00:00:16.117840,30,0,0,9,COMPLETE
75,-0.03784681248589894,2025-10-23 07:49:20.943363,2025-10-23 07:49:37.958658,0 days 00:00:17.015295,30,0,0,5,COMPLETE
76,0.019418841739554438,2025-10-23 07:49:38.014913,2025-10-23 07:49:52.957260,0 days 00:00:14.942347,28,0,0,3,COMPLETE
77,0.06890341966698849,2025-10-23 07:49:53.012278,2025-10-23 07:52:41.151085,0 days 00:02:48.138807,30,0,0,12,COMPLETE
78,0.10049147281791643,2025-10-23 07:52:41.201963,2025-10-23 07:53:00.464040,0 days 00:00:19.262077,30,0,0,7,COMPLETE
79,0.09698334218772237,2025-10-23 07:53:00.523123,2025-10-23 07:55:36.241130,0 days 00:02:35.718007,32,0,0,8,COMPLETE
80,0.028551867397317576,2025-10-23 07:55:36.297214,2025-10-23 07:55:58.557046,0 days 00:00:22.259832,41,0,1,9,COMPLETE
81,0.12049820629831126,2025-10-23 07:55:58.615059,2025-10-23 07:58:00.962873,0 days 00:02:02.347814,1,0,0,9,COMPLETE
82,0.022856413235710915,2025-10-23 07:58:01.016607,2025-10-23 07:58:19.220740,0 days 00:00:18.204133,37,0,0,9,COMPLETE
83,0.14002678524916556,2025-10-23 07:58:19.275033,2025-10-23 07:58:37.866717,0 days 00:00:18.591684,43,0,0,9,COMPLETE
84,0.12634520411538608,2025-10-23 07:58:37.921779,2025-10-23 08:00:39.426351,0 days 00:02:01.504572,17,0,0,4,COMPLETE
85,0.09526363124680254,2025-10-23 08:00:39.486915,2025-10-23 08:04:20.038734,0 days 00:03:40.551819,26,0,0,14,COMPLETE
86,0.14002678524916556,2025-10-23 08:04:20.096263,2025-10-23 08:04:41.017747,0 days 00:00:20.921484,44,0,0,9,COMPLETE
87,0.03807586720934958,2025-10-23 08:04:41.070062,2025-10-23 08:05:53.796254,0 days 00:01:12.726192,35,0,0,2,COMPLETE
88,0.022366455251329576,2025-10-23 08:05:53.859356,2025-10-23 08:06:09.427830,0 days 00:00:15.568474,19,0,0,0,COMPLETE
89,0.12455490030951655,2025-10-23 08:06:09.480944,2025-10-23 08:06:28.824687,0 days 00:00:19.343743,51,0,0,9,COMPLETE
90,0.03201752202603236,2025-10-23 08:06:28.894085,2025-10-23 08:06:44.052223,0 days 00:00:15.158138,38,0,1,15,COMPLETE
91,0.14002678524916556,2025-10-23 08:06:44.106435,2025-10-23 08:07:02.042182,0 days 00:00:17.935747,36,0,0,9,COMPLETE
92,0.13574135618094035,2025-10-23 08:07:02.098924,2025-10-23 08:07:17.571775,0 days 00:00:15.472851,4,0,0,9,COMPLETE
93,0.12455490030951655,2025-10-23 08:07:17.628656,2025-10-23 08:07:36.860420,0 days 00:00:19.231764,58,0,0,9,COMPLETE
94,0.12839631797550166,2025-10-23 08:07:36.913486,2025-10-23 08:07:57.382736,0 days 00:00:20.469250,45,0,0,13,COMPLETE
95,0.1624108143354187,2025-10-23 08:07:57.437217,2025-10-23 08:08:14.065402,0 days 00:00:16.628185,15,0,0,9,COMPLETE
96,0.07617010459504131,2025-10-23 08:08:14.134192,2025-10-23 08:08:33.649257,0 days 00:00:19.515065,30,0,0,10,COMPLETE
97,0.1624108143354187,2025-10-23 08:08:33.719187,2025-10-23 08:08:50.370638,0 days 00:00:16.651451,18,0,0,9,COMPLETE
98,0.11119589385263595,2025-10-23 08:08:50.443571,2025-10-23 08:09:05.450862,0 days 00:00:15.007291,15,0,0,1,COMPLETE
99,0.0732168886061556,2025-10-23 08:09:05.503663,2025-10-23 08:09:24.785798,0 days 00:00:19.282135,60,0,0,9,COMPLETE
